البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8405	1001277	Predmacin eye ointment					0			8745	8745	10000	
8406	3760245850910	Prednabene 15mg85ml syr					0					7000	
8407	3760245850262	prednabene 20mg 28 tab					2					6000	
8408	3760245850903	prednabene 5mg 30 tab					3			2354	2353	3000	
8409	6251875002116	prednicort 20 mg tab pioneer /sh		prednisolone	باكيت	10	2	19	شريط	1517	1525	2500	28817
8410	6251875001768	PREDNICORT 5MG TAB pioneer/sh				170	0	3		1102	1166	2000	3305
8411	6251875001799	PREDNICORT SYRUP PIONEER/sh		prednisolone		36	0	9	شراب	2218	2312	4500	19962
8412	5055565789131	Prednisolone 20mg tab accord				4	2	8	شريط	5296	5486	7250	42371
8413	5012617026255	prednisolone 5mg tab accord / sh	prednisolone	prednisolone 5mg	باكيت	1	2	2	شريط	2173	2145	3000	4347
8414	3800501091852	PREDNISOLONE 5MG VITAPURE			باكيت	0	2	1		1306	1298	4000	1306
8415	1250	prednome 5mg me /sh					0					1250	
8416	6858679626700	prednomel 5mg me /sh			شرايط		2			871	871	750	
8417	1001607805	Predol eye oint. prednisolone				5	0	2		7207	7195	9000	14414
8418	7640144122744	prefemin tab					0		\باكيت			26000	
8419	5055565719183	Pregabalin Accord 75 mg 56 cap					4					9000	
8420	6251875001560	pregafix 150 mg cap pioneer /sh		pregabalin	باكيت	19	3	57	شريط	4680	4593	8000	266783
8421	6251875002727	pregafix 50 mg cap pionner / sh		pregabalin	شريط	5	3	16	باكيت	2827	2619	4500	45239
8422	6251875001539	pregafix 75 mg cap pionner / sh		pregabalin	شريط	3	3	10	باكيت	3426	3558	4500	34264
8423	8400044891558	preg-aim 50mg aimpharma / sh			شريط	1	3	3	باكيت	2871	2871	4000	8612
8424		pregarok 75 mg					3					5000	
8425	8904182202264	Pregatox plus 14 capsul Ariana					0					17000	
8426	3800501091463	Pregavit-HP 5000 IU				2	0	2		14400	14400	18000	28800
8427	5060288390502	pregna-all				1	2	2		7300	7300	9000	14600
8428	5021265232062	Pregnacare breast feeding tab Vitabiotic					0					25000	
8429	5021265254316	pregnacare conception / sh				1	2	2		9668	9510	12000	19335
8430	5021265221585	PREGNACARE Conception TAB VITABIOTIC					2					11000	
8431	5010058089785	PREGNACARE Original TAB VITABIOTIC					2					9000	
8432	5021265254309	Pregnacare original tab Vitabiotics /sh				5	2	10		6138	6136	7500	61379
8433	5021265254293	pregnacare plus vitabiotics / sh			شرايط	9	2	18		11296	13038	16250	203337
8434	5021265225026	PREGNACARE TAB VITABIOTIC					2					6000	
8435	5021265222100	Pregnacre cream Vitabiotic					0					10000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8436	5026143994384	pregnancy folic acid 400Mcg tab					0					10000	
8437	6922954804593	pregnancy test quik					0		\باكيت	2810	2810	4000	
8438	8715580737193	PregnaPro advance tab					2					7000	
8439	5060288391417	pregnav advanced				2	2	3		7825	7825	9000	23475
8440	5060288391622	pregnav omega			شرايط	1	2	2		10425	10425	12000	20850
8441	2025-05	PREGNYL 5000 IU AMP ORGANON				4	0	3		21980	21980	35000	65940
8442	204000610294	PREGVYTE TAB				5	0	3		10344	10314	12250	31032
8443	5200403002143	prelocortil 5mg medicair /sh			شريط		3			3192	3192	4000	
8444	10002795100840100000	premethrin lotion 5% /sh				3	0	2		1860	1860	3000	3720
8445	6224011287173	premier anti hair loss spray				1	0	1		10900	10900	14000	10900
8446	8906176621228	Preminova cream 5%				6	0	5		1470	1471	2000	7352
8447	9504000089245	premium d3 50000 awamedica / sh				4	0			7057	7057	8000	
8448	6291100088232	Premosan 20 tablet julphar				13	0			1524	1525	2000	
8449	6291100086238	PREMOSAN AMP JULPHAR					5					1000	
8450	852510005095	Pre-natal 60 tab Breen Field					0					25000	
8451	895749000011	Prenatal 60 tablet					0					35000	
8452	811079031259	Prenatal comlpete 30 cap					0					18000	
8453	5060806460625	prenatal mamacare life on 30 caps /sh				6	2	13		6227	6250	8000	80952
8454	8683411845037	Prendazole 150mg				15	0			933	933	1500	
8455	8683411849585	prendomycin 250 mg					0			1693	1693	3500	
8456	10002795100840100000	presilon-d / sh				50	0	3		248	253	1000	744
8457	8600097416542	presolol 100 tab hemofarm /sh		metoprolol	باكيت	5	3	15	شريط	1954	2160	2500	29310
8458	8600097003452	presolol 50 mg tab hemofarm/sh		metoprolol	باكيت	6	4	26	شريط	1411	1410	1500	36680
8459	8600097424660	Pressing tab Loratadine					0					1500	
8460	8941100352465	PRETIN 10MG TAB		LORATIDINE	باكيت		10		شريط	500	500	1000	
8461	8420101217534	prevent jelly kids syrup 250 ml Eladiet /sh				9	0	1		10644	10645	14000	10644
8462	6221094081636	PREVET SYRUP /sh		CYPROHEPTADINE		56	0	11	شراب	2003	2129	3000	22037
8463		prima d3 10,000 tab				34	0	4		8333	8340	11000	33331
8464	10002180	PRIMA D3 50,000 IU SOFTGEL CAP JAMJOOM/SH		d3		40	0	-2	باكيت	23520	23520	29250	-47040
8465	10002178	prima d3 50000				10	0			21087	21087	25000	
8466	10002795100840100000	PRIMA D3 5000IU SOFTGEL JAMJOOM				75	0	2		12519	13499	16750	25038
8467	10002179	primad3 50000					0					25000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8468	100196	PRIMOLUT DEPOT AMP 250MG BAYER					0					14000	
8469	10002795100840100000	PRIMOLUT N TAB		NORETHISTERONE	باكيت	2	2	3	شريط	3864	3895	5000	11591
8470		PRIMOLUT N 5 BAYER		NORETHISTERONE	باكيت		2		شريط	2513	2512	3500	
8471	10002795100840100000	primolut nor tab			باكيت		2			4650	4650	6000	
8472	1001257	Primolute N 30tab Bayer /sh			باكيت	12	2	23	شريط	3887	3895	5000	89390
8473	1001305	Primolute N tab الشريط القصير					3					3000	
8474	6251665002036	Primotan-N tab					2			2675	2675	3500	
8475	1001607747	Priorin Intense 120 capsul					8					10000	
8476	4008500109885	Priorin N 90 capsules الاصلي/sh				3	3	9		16333	16333	23000	147000
8477	100171230087	Priorin N 90 tab. شرائط					3					25000	
8478	-11072480	priorin shampoo bayer/sh				14	0	2		22200	22165	25000	44399
8479	10002795100840100000	PRIORN N 90 CAP BAYER/sh				4	3	11		16667	16667	25000	183333
8480	9648960231150	prislone 5mg aswar alkhaleej /sh			شريط	30	0	1	باكيت	200	200	500	200
8481	1001122	PRISOLON 5MG TAB SDI				150	0	74		359	358	1000	26573
8482	100879270013	prisolone 5mg sdi / sh				3	50	136	شريط	337	331	500	45838
8483	100889270010	prisolone 5mg SDI tab			شريط	0	3	1		428	428	1000	428
8484	5281001312704	private 10 حفاظات مربع رقيق /sh				3	0	3		1879	1730	2500	5638
8485	5281001315088	private 10 حفاظات/sh				8	0	3		1893	2022	2500	5680
8486	5281001315163	private 8 مربع ليلي /sh				3	0	1		1729	1729	2500	1729
8487	5281001316887	private 9 حفاظات /sh				3	0	1		1729	1729	2500	1729
8488	5281001315231	private maxi night 24 pads				2	0	2		5500	5500	8000	11000
8489	6281017223130	private maxi super 50 pads				1	0	1		9925	9925	15000	9925
8490	5281001312872	private missteen 10 حفاظات				2	0	2		1953	1953	2500	3906
8491	5281001315118	PRIVATE NATURAL COTTON FEEL /SH				6	0	1		1250	1250	2500	1250
8492	5281001312711	private super extra thin				2	0			2000	2000	3000	
8493	5281001315156	private حفاظات نسائية / sh				11	0			5546	5593	7000	
8494	8690927512544	PRO CLINIC KIDS TOOTHBRUSH				15	0	12		3750	3750	6000	45000
8495	8690927512070	PRO CLINIC SLIM TOOTHBRUSH				15	0			3750	3750	5000	
8496	8690927512063	PRO CLINIC ULTRA TOOTHBRUSH				15	0			3750	3750	6000	
8497	8683735987284	pro colase chewable tab					2			9825	9825	12500	
8498	807205113890	Pro Creation Female 30 cap NaturesPlus				3	0	3		39941	40548	40000	119822
8499	807205112237	Pro Creation Female 60 cap NaturesPlus				2	0	2		68089	68089	67000	136178
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8500	807205113883	PRO CREATION MALE 30 CAP NATURESPLUS				2	0	1		40787	40546	48000	40787
8501	8683735987130	Pro Lactase drop Vitasea /sh				10	0	2		18672	19150	24000	37343
8502	10002795100840100000	pro white advaced teeth whitening strips/sh					7					12000	
8503	5060565105768	probio face serum/sh				2	0	2		9072	9072	12000	18144
8504		PROBIOCIENA TAB				4	0	4		20571	20571	25000	82284
8505	784956382105	probiotec blend 5.75				15	0			20450	20450	25000	
8506	733739029294	Probiotic -10 + Inulin 24 packets Now					24					2000	
8507	5060656800596	probiotic 10billion 30cap herbal harmony				2	0			34150	34150	45000	
8508	807205116815	probiotic gi natural 60 caps				1	0	1		65990	65990	75000	65990
8509	87614190372	probiotic swanson cap/sh				16	0			27775	27775	35000	
8510	852510005934	probiotic with cranberry/sh				24	0	4	علبة	23779	23641	28000	95116
8511	5060829021612	probiotic علبه billion				11	0	2		19648	19746	25000	39296
8512	6260147709134	Probiotic معجوم اسنان				3	0	3		24000	24000	27000	72000
8513	733739029263	PROBIOTIC-10 25 BILION 50CAP/sh				12	0			33000	33000	45000	
8514	733739029287	Probiotic-10 50 billion 50 cap Now					0					60000	
8515	100171230036	prochlorperazine amp					10					3000	
8516	3594451300057	procoralan 5 mg tab servier/sh		ivabradine	باكيت	2	4	9	شريط	7680	7670	9500	69121
8517	3594451400047	procoralan 7.5 mg tab servier/sh		ivabradine	باكيت	6	4	26	شريط	7527	7670	9500	195696
8518	807205112244	procreation V 60 tab naturesplus					0			67000	67000	75000	
8519	1001607778	PROCto					0					3000	
8520	6211365027050	procto cinolone oint/sh				95	0	12	عصارة	1834	1820	4000	22014
8521	XFJV6X	procto lys yal cream					0			33000	33000	40000	
8522	6211365035505	PROCTOCINOLON RECTAL CREAM/sh				43	0	1		3000	3000	4000	3000
8523	6211365013053	PROCTOCINOLONE SUPP				7	0	1		3842	4150	5000	3842
8524	5285007350487	proctodain oin / sh				3	0			1056	1056	1500	
8525	1001522	Procto-glyvenol 30gm Krem					0					9000	
8526	1001523	Procto-glyvenol supp					0					14000	
8527	6251107378262	proctoheal oint. Pharma International /sh				298	0	3	عصارة	2525	2525	3500	7574
8528	6251107378279	PROCTOHEAL suppositories dar aldawa /sh				112	0	14		4392	4390	5750	61485
8529	1001607999	Proctosam ointment /sh				7	0	5		2355	2355	3000	11775
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8530	6212265016540	PROCTOSEDYL OINTMENT					0					2500	
8531		procto-synalar n cream				12	0	3	عصارة	4696	4719	6000	14089
8532	1001607791	procto-synalar N rectal cream/sh				48	0	12		4719	4719	6250	56627
8533	100171230017	procto-synalar N SUPP					0					6000	
8534	150305107402019	proctoyat oint hayat / SH				10	0	2	عصارة	1716	1716	2500	3432
8535	5290931037496	PROCYCLIDINE 5mg		PROCYCLIDINE	باكيت	7	10	70	شريط	2187	1091	3000	153068
8536	1001272	Procyclidine 5mg tab قبرصي					0					3000	
8537	9501100942401	PRODEIN 8/500 EFFERVESCENT TAB سلطنة عمان					5					2500	
8538	6260147709110	Prodentine معجون اسنان ايراني				1	0			2000	2000	4000	
8539	51850-4584677	PRODIGY AUTOCODE				1	0	1		12390	12390	30000	12390
8540	1001607745	PRODIGY شريط سكر احمر					0					17000	
8541		PROF 100\5 SYRUP		IBUPROFEN			0		شراب			3000	
8542	6285147003426	PROF SYRUP TABUK		IBUPROFEN		1	0	1	شراب	2195	2195	3000	2195
8543	5285007350333	Profedad syrp WRC					0			1277	1277	2000	
8544	100171230048	profedin 400mg tab SDI				0	2	1		786	786	1000	786
8545	100688260038	Profedin cold&sinus SDI				14	2	27		980	1002	2000	26448
8546		profedin sdi			باكيت		2		شريط	1015	1015	1500	
8547	3582910080237	Profenid 100mg 30 tablet Sanofi					2					6000	
8548	10002795100840100000	profepain 400 mg tab					2			792	792	1250	
8549	MPI-PROF	profepain Oral syrp / sh				44	0	7		1589	1342	2500	11124
8550	6251158050001	PROFILAR Syrup United /sh				17	0	1		2350	2350	3000	2350
8551	8906044900349	Profimark syrp 100ml				3	0			1636	1636	2000	
8552	6291100080427	PROFINAL SUSP				38	0	1		2127	2195	2750	2127
8553	6251144020865	progesta 400 supp / sh				2	0	2		20890	20559	23000	41780
8554	1001607978	progest-care 50mg/2ml amp					10					3000	
8555	8906113370035	progest-depot 250mg amp					0					7500	
8556	8906113370691	progest-depot-250				2	0	2		5665	5665	8000	11330
8557	8608808141462	progesteron depo 250mg/ml amp Belgrade					5			8426	8426	10000	
8558	8908003460215	Progesteron injection					10			933	933	2000	
8559	100171230016	Progesterone 50mg amp					10					1500	
8560	106260164604290000000000000000000000000000000000000	Progesterone injection Iran					10					1000	
8561	6957855100970	Progesterone injection kontam					10					1500	
8562	705632415641	PROGESTRA 5MG TAB					3					4000	
8563		PROGEVA 100MG CAP					2			8700	8700	12000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8564	10002950	PROGEVA 200MG CAP versalya pharma /sh				4	0	6		13132	16362	20250	78790
8565	1001269	Progevera 5 mg tab Pfizer					2					8000	
8566	10002795100840100000	proglau eye drop				1	0	1		10204	10204	13500	10204
8567	1001385	Prograf 1mg capsule					5					7000	
8568	0106285074002288216269207775541728033110WEX17P	PROGYLUTON 21 TAB BAYER		ESTRADIOL NORGESTREL	باكيت		1		باكيت	8477	8477	10000	
8569	10628507400228800000000000000	progyluton tab bayer		estradiol \ norgestrel		12	0		باكيت	8686	8750	9000	
8570	0106285074002288216163375424791728022910WEW9KN	PROGYLUTON TAM BAYER		ESTRADIOL\NORGESTREL			0		باكيت			10000	
8571	10002795100840100000	PROIBS 10Sachet/3g Erbozeta /sh			باكيت		10		شريط	1620	1620	2000	
8572		prolia 60mg /ml					0			280527	280527	308000	
8573	6251106805486	Prolin 0.5 tab /sh			باكيت	0	8	4		2045	2045	2500	8181
8574	6251106805479	prolin 0.5mg 2tab /sh				2	0			5267	5267	7000	
8575	8699546750283	proluton depot 500/2ml amp					0					6500	
8576	8901117232709	prolyte o.r.s				4	10	36	كيس	2769	2909	1000	99670
8577	6281263186586	Promax 30gm oint jamjoom				5	0	2		2586	2502	3500	5173
8578	850019764710	promaxجهاز ضغط ناطق / sh				4	0	1		40299	40299	50000	40299
8579	6286740000362	pronamel sensodyne / sh				6	0			6044	6110	7000	
8580	6922954804609	proof of pregnancyجهاز فحص الحمل/sh				76	0	1		1320	1378	2000	1320
8581	8681116610103	Propoleo cream					0					5000	
8582	3525722023726	Propolis cough syrup					0					9000	
8583	5055565789117	PROPRANOLOL 10 MG ACCORD /sh		PROPRANOLOL	باكيت	9	2	18	شريط	1240	132	1750	22316
8584	5012617009906	PROPRANOLOL 10MG TAB ACTAVIS				0	2	1		1900	1900	2500	1900
8585	5055565789094	PROPRANOLOL 40mg tab accord /SH	propranolol accord	propranolol 40mg	باكيت	7	2	14	شريط	1975	1975	2500	27650
8586	1001258	Proscar 5mg tab organon / sh				2	2	4		10226	10226	13000	40904
8587	4104480705465	PROSPAN SYRUP engelhard / sh		IVY		1062	0	543	شراب	5348	5705	7500	2903887
8588	4104480718038	PROSPAN SYRUP MENTHOL engelhard / sh		IVY		307	0	6	شراب	5706	5706	7500	34236
8589	4009932927481	prostacalm 30 cap aktiv/sh			شريط	2	3	6	باكيت	4090	4090	5500	24542
8590	6251600000912	PROSTACARE TAB 30tab/sh				6	3	19		3764	3767	4750	71525
8591	784956382112	PROSTA-HELP 30CAP PHARMACIENA				2	0	1		19800	19800	25000	19800
8592	5907650226611	prostamin / sh					2			12875	12875	15000	
8593	8053259620316	prostanil 30cap/sh				2	2	5		12369	12272	15250	61847
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8594	6210108010106	Prosta-nor 2mg tab					2					1500	
8595	6210108020105	PROSTA-NOR 5MG TAB / sh				2	2	5		3258	3430	4000	16292
8596	6285147003501	Prosta-tab PR 0.4mg tab					3			3637	3637	5000	
8597		prostcare tab اردني					0						
8598		PROSTERIDE 5MG SDI			باكيت	10	0			217	1190	1500	
8599	100791330017	prosteride 5mg tab SDI /sh				36	0	16		1040	1120	1500	16637
8600	9780201379914	PROSTRATE CURE TAB					3			6076	6072	7000	
8601	8697428819912	PROTA FOLIC 30ml drops				6	0			5506	5568	11000	
8602	8684354700162	PROTA MEGA 3 2000MG / sh			باكيت	4	4	14		3642	3579	5000	50993
8603	8684354700346	PROTA night 5mg				1	60	79		226	204	500	17866
8604		prota night melatonin					0	4		14722	14706	18000	58890
8605	8697428818816	prota zinc 20mg tab / SH				53	0	3		4940	4937	6500	14821
8606	8697428816966	Prota Zinc 50mg tab					2			4551	4546	6000	
8607	8684354700285	Prota Zinc syrup				4	0			7372	3630	5000	
8608	8697428819431	Protacal syrup Protem pharma /sh				2	0			4083	4083	7000	
8609	6285147001576	Protec 1gm IM vial Tabuk/sh				9	0	6	ابرة	9178	9178	11000	55068
8610	8058090008958	protect ear plugs pic /sh				2	0			5000	5000	7000	
8611	10001888	PRO-TEST 50S				3	0	2		12672	12263	14000	25343
8612	10002795100840100000	Protizol eye drop edol /sh				3	0			10533	10533	13750	
8613	89023990044325	protobran cream				15	0	8		1497	1099	1500	11975
8614	5909990236411	provera 5mg tab pfizer					3					5000	
8615	0VQ4H1	Provera G 5mg 12 tab					0					9000	
8616	0106285074002493216910815899601728022910wew8ha	PROVERON 25 MG TAB		MESTEROLONE		7	0	7	باكيت	4915	4915	12000	34405
8617	9555163309398	provi condom				2	0		باكيت	2010	2010	3000	
8618	10002795100840100000	PROVI EAR STUDS				24	0	17		580	580	2000	9860
8619		PROVI تراجي					12			1160	1160	2000	
8620	7640184581112	PROVI عنقية/SH				2	0	2		23000	23000	25000	46000
8621		provi فلاش مؤخر					0		بخاخ	2670	2670	5000	
8622	7640184580078	Provi كف ازرق				1	0			4950	4950	6000	
8623	7640184580061	provi كف عمليات				1	0			4060	4060	5000	
8624	6118000120551	Proviron 25 mg 20 tablet اوربي				2	2	3		4917	4917	5000	14751
8625	10002795100840100000	PROVIRON 25 MG TAB BAYER / sh		MESTEROLONE		25	0	9	باكيت	5377	4916	6500	48395
8626	8699546010042	proviron 25mg 20tab &&					0					10000	
8627	0106285074002493216148942111061725013110t8jp	PROVIRON TAB اصلي				4	0	1		3243	4915	12000	3243
8628	3801766647860	PROVITONE CAP VASSIL				0	3	1		1800	1800	5000	1800
8629	8717825970068	proxana plus cap					2					23000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8630	3401597431807	PROXEED PLUS SACHET / sh			شريط	2	30	61	باكيت	4164	2573	3000	254025
8631	6221068201916	Proximol granulessimple /sh				16	0	4		2774	2748	3000	11094
8632		prozac 20mg					0		باكيت	6650	6650	9000	
8633	1001500	Prozac 20mg cap Lilly					0					8500	
8634	MPI-PSED	pseudofed syrup almansour				5	0	3		1656	1650	2500	4967
8635	3571940000421	psoriane shampoo				1	0	1		28000	28000	34000	28000
8636	6192402882736	Psoriasone oint. opalia				2	0			20453	20453	23000	
8637	5000456010887	PULMICORT 0.5 MG\ML SUSP AZTRAZENECA / sh		BUDESONIDE	باكيت	3	4	13	شريط	8207	8206	9750	106694
8638	7321839712241	Pulmicort Nebulising suspension					4					10000	
8639	7321839710933	Pulmicort Turbuhaler Astrazeneca				2	0	2		26346	26346	27000	52692
8640	100131	pulmocodin syr					0					2000	
8641	300841050012	pulmocodin syr SDI				14	0	12		2091	2112	2750	25096
8642	8901302108772	pulmoxyl 250 syr				2	0			1930	1930	3500	
8643	8901302098172	pulmoxyl 500 cap micro / sh		amoxicillin	باكيت	75	10	754	شريط	808	812	1000	609463
8644		pulse oximeter				5	0			3062	3100	5000	
8645	10002795100840100000	Pulse oximeter /sh				2	0	1		13600	13600	17000	13600
8646	6251106161360	Pumpinox 40mg tablet					0			8238	8238	10000	
8647	63935027832	pumpkin 1000mg 30 tab				7	0	2		12185	12420	16000	24370
8648	63935028433	PUMPKIN 90SOFTGEL Ag /sh				4	0	1		20615	20600	25000	20615
8649	63935008312	Pumpkin seed oil 1000 mg 90 capsules AG				1	0			18618	18618	20000	
8650	8682005381524	pure glycerin oil maya health life / sh				3	0	2		1526	1526	3000	3052
8651	3086126727370	pure lady /sh				1	0	1		4200	4200	6000	4200
8652	10002957	pure medicai alcohol 70% 500ml/sh					0					3000	
8653		pure medical 250ml بخاخ				22	0	5		1100	1100	2000	5500
8654	10002956	pure medical alcohol 70% 500ml jb /sh				3	0			1650	1650	3000	
8655	10002962	pure medical alcohol 70%250ml jb/sh				46	0			1008	1008	2000	
8656	10002795100840100000	PURE MEDICAL ALCOHOL SPRAY 96% / SH					0			3600	3600	5000	
8657	10002795100840100000	PURE MEDICAL كحول 1لتر / sh				21	0			3760	3250	5000	
8658	8697711600845	pure salicylic acid 2% sol biobalance				4	0	1		12000	12000	18000	12000
8659	4009932923858	Pure-3 60 cap				5	3	15		5644	5645	7000	84659
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8660	4009932921854	pure-3 aktive				0	3	1		4514	4474	7000	4514
8661	4009932921861	PURE-3 CAP AKTIV 30cap		PURE-3	باكيت	8	3	25	شريط	3865	3028	4000	96615
8662	4009932923865	Pure-3 CAP. omega 3 Aktiv					3					6000	
8663	4009932922851	Pure-3 omega 3 cap					4					5000	
8664	8682773091687	purest (+50 spf) blemish /sh				21	0	15		20204	20250	24000	303061
8665	8682773091021	PUREST (hyaluronic acid2%+B5)سيروم/sh				45	0	17		17292	18750	25000	293970
8666	8682773091274	PUREST 2%BHA toner/sh				8	0	5		17451	19500	22000	87254
8667	8682773091311	purest ceramide daily moisturizing cream /sh				59	0	7		18631	18750	20000	130414
8668	8684083320358	PUREST CLEANSING BALM/sh				3	0	3				25000	
8669	8682773091335	PUREST daily ultimate moisturizer +50spf/sh				31	0	15		18198	18750	20000	272963
8670	8684083320570	purest exofoliating cleanser 400ml				6	0			23500	23500	35000	
8671	8682773091069	purest peptide complex سيروم/sh				25	0	13		20637	22500	25000	268276
8672	8682773091267	PUREST powder cleanser /sh				8	0	3		17457	17457	25000	52371
8673	8682773091250	PUREST powder peeling/sh				7	0	5		22500	22500	28000	112500
8674	8682887945968	PUREST SOLUTION				2	0			9600	9600	12000	
8675	8682773091298	PUREST V.C سيروم/sh				29	0	7		22386	22500	25000	156705
8676	8682773091953	PUREST( EXFOLATING SALICYLIC ACID)/shغسول				17	0	6		19443	19500	23000	116657
8677	8682773091045	PUREST( GLYCOLIC ACID5%) toner/sh				15	0	7	سيروم	15600	15600	22000	109199
8678	8684083320631	PUREST( SOOTHING)سيروم مهدء ومنعم/sh				14	0	12		18900	18409	25000	226800
8679	8682773091014	PUREST(AHA10%+BHA2%)سيروم تقشير/sh					0	3		14062	14062	25000	42188
8680	8682773091038	PUREST(ARBUTIN 2%)سيروم				18	0	14		20717	21000	25000	290043
8681	8682773091052	PUREST(CAFFEINE ) سيروم/sh				17	0	8		16810	16810	25000	134483
8682	8682773091694	PUREST(dry-touch +50 SPF)/sh				34	0	16		19595	20250	24000	313523
8683	8682773091960	PUREST(HYDRATING FACIAL) /sh				25	0	9	غسول	19092	19500	22000	171831
8684	8682773091342	PUREST(NIACINAMIDE10%+V.B)سيروم/sh				28	0	7	سيروم	20250	20250	25000	141750
8685	8682773091007	PUREST(NIACINAMIDE5%+ZINC) سيروم/sh				7	0	-15		15947	17800	25000	-239210
8686	8682773091281	PUREST(OIL) cleanser/sh				23	0	15		18281	19000	23000	274215
8687	8682773091304	PUREST(RETENOL)سيروم				19	0	5	سيروم	24750	24750	27000	123750
8688	8681293078826	PURGENE CRACKED HEEL REPAIR FOOT CREAM /SH				3	0			2610	2610	4000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8689	8681293078192	purgene face whitening soap / sh				1	0	1		3483	3550	5000	3483
8690	8681293078918	PURGENE HAND SANITIZER GEL					0					1000	
8691	8684877944029	purgene intimate dry spray deodorant / sh				3	0	3		7140	7140	10000	21420
8692	8681293078116	purgene prebiotic intimate foam					0			5180	5180	8000	
8693	8697711701054	purifying skin cream/sh				8	0	7		10938	12000	13000	76562
8694	8901117253230	Pylokit cipla			باكيت		7			2271	2271	2500	
8695	1001519	pyridoxine hcl amp b6					10					1000	
8696	6290050431754	python crepe bandage 15 cm / sh				2	12	19		469	469	2000	8914
8697	609788968214	Q well 400 ams				1	0			56160	56160	62000	
8698	8692621810018	q7 chocolate/sh				41	0	29		1531	1450	2500	44392
8699	8682376180122	qady cleansing bottels and access/sh				2	0			2515	2515	3500	
8700	6974610431926	qianhui /sh مناديل مرطبة صغير				4	0			900	900	2000	
8701	10001807	quadream cream vassil /SH				43	0	3		2161	2200	3000	6483
8702	6251651002262	QUADRESON CREAM				15	0			1413	1412	2000	
8703	6212268015328	QUADRIDERM CREAM سوري امتياز					0					3500	
8704	6221050130118	quadriderm cream وردي امتياز					0					2000	
8705	900757250010	Quadrim cream SDI / sh				131	0	9		1602	1605	3000	14417
8706	8906176620795	QUADRINOVA cream				16	0	3		1364	1362	1750	4092
8707	9645500000559	Quadroderm Cr aswar / sh				29	0			1795	1795	3000	
8708	8681116609046	quady zac mouthwash / sh				15	0	1		1028	1065	2000	1028
8709	8056992031258	QUATRE PLUS TAB abm /sh				2	2	4		9040	8948	11250	36158
8710	8902399003490	quatrobrawn cream				3	0			1098	1098	3000	
8711	10003011	quderm cream دجلة/sh				99	0	1	عصارة	1094	1110	1500	1094
8712	8032284399947	Quec caviar hair mask 1000ml /sh				2	0			6490	6490	10000	
8713	6251870048119	Quel 100 Quetiapine 100mg F/C tab				2	3	6		5136	4023	5000	30817
8714	6251870048218	quel 200mg tab				3	3	10		6936	6000	7500	69359
8715	6251870048003	QUEL 25mg TAB				2	6	11		2800	2755	4000	30798
8716	3760245850378	Quenil 200mg tab hydroxychloroquine					5					5000	
8717	8904100900401	QUICK RELIEF GEL					0					1000	
8718	6986256478876	QUIK CHECK اختبار حمل /sh				36	0	3		773	760	3000	2319
8719	762497144048	QUILIFLEX 200MG COQ10				6	0			13295	13295	18000	
8720	5060013942228	quinoric 200mg 60tab bristol					6					4500	
8721	6285147003594	QUINOX 500mg 10tab tabuk				16	0	4		2524	2524	3500	10096
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
8722	6291103841612	quipine tab 25mg			باكيت		2		شريط	6355	6355	18000	
8723	8906161741962	QUIRID CREAM				9	0			1328	1340	2500	
8724	10002795100840100000	Quisha-Met 5/1000 helix pharma /sh			باكيت		4		شريط	6500	6500	8000	
